WW_Type,Volume,COD_in,BOD_in,pH_in,Voltage,Power_Density,Coulombic_Efficiency,COD_out,BOD_out,pH_out,Reference,Category
1,9655,7486,4765,7.829989973347862,0.847,743.24,15.21,2852,1672,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,3943,3500,2428,8.325398470083343,0.847,464.23,17.01,893,546,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,9567,3016,2087,8.533601546034454,1.372,1022.52,26.44,540,311,7.2,Estimated Synergy (Co-digestion),Synthetic
0,7308,7276,4805,6.223651931039313,1.609,1592.54,17.13,2013,1185,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,491,7794,5128,7.817879924343034,1.523,1035.52,29.89,1125,586,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,7315,6598,3709,6.975549966080241,1.417,1380.78,32.64,776,325,7.0,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,3940,3028,1853,8.312901539863683,0.617,306.41,14.75,1378,788,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,963,4790,2850,7.689826715929151,1.477,661.9,30.12,627,288,7.1,Estimated Synergy (Co-digestion),Synthetic
0,3257,7915,5429,8.42436113869325,1.058,1418.28,25.54,2491,1546,7.4,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,1763,3529,1850,7.068893514230925,1.839,678.22,32.41,578,247,7.1,Estimated Synergy (Co-digestion),Synthetic
2,7626,2709,1631,7.252233009446337,0.905,539.77,26.58,66,16,7.1,Estimated Synergy (Co-digestion),Synthetic
0,3863,7232,3709,6.761746241803034,0.723,1329.28,28.37,1431,622,7.4,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,4837,7685,3893,7.035213744080049,1.457,2858.68,29.99,815,296,7.2,Estimated Synergy (Co-digestion),Synthetic
2,5031,5510,3594,6.712912631977199,1.521,1389.89,30.66,652,317,7.2,Estimated Synergy (Co-digestion),Synthetic
0,9439,6282,3375,6.122325424664291,1.093,1345.0,13.65,1292,592,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,1943,2488,1587,7.160206038901612,1.902,385.38,26.69,344,172,7.4,Estimated Synergy (Co-digestion),Synthetic
1,362,7883,4217,8.946505029988307,0.573,460.05,20.43,2449,1184,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,7258,4056,2254,8.101073489918313,1.584,1791.74,24.93,549,237,7.3,Estimated Synergy (Co-digestion),Synthetic
0,5639,3445,2183,7.742059864309364,0.836,818.25,31.28,784,431,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,2969,5234,3299,6.67280792838168,0.729,381.11,13.34,1542,873,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,1318,6496,3648,7.627620691664697,1.242,1839.43,23.67,761,318,7.4,Estimated Synergy (Co-digestion),Synthetic
2,5995,5354,3142,7.050235223084027,1.475,2088.06,36.59,718,327,7.2,Estimated Synergy (Co-digestion),Synthetic
2,7779,2016,1409,7.409833541972828,0.965,1022.43,34.04,85,17,7.1,Estimated Synergy (Co-digestion),Synthetic
1,706,5170,3598,6.226038768018385,0.485,292.73,11.79,2034,1308,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,5954,2569,1762,6.211248392548631,0.437,302.07,12.9,1138,728,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,884,5175,3308,8.107452251961327,0.562,364.7,20.46,1337,755,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,7071,7625,3820,7.883683244845908,0.598,489.3,20.4,2136,955,7.4,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,6019,4774,3028,6.984458002424196,0.795,2408.52,35.79,265,77,7.1,Estimated Synergy (Co-digestion),Synthetic
1,3954,7173,4356,6.979953725388123,0.823,596.32,22.89,2382,1316,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,4242,6364,4416,8.143785312539856,0.39,599.88,15.17,1764,1091,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,8408,7949,5303,8.087922618281095,0.59,724.03,11.44,3069,1888,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,7504,6992,4831,8.213690750087306,0.998,1218.24,19.84,1982,1224,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,7353,4744,2696,6.275397197440325,0.484,566.44,31.46,1156,576,7.0,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,2579,6646,3783,7.394021438818834,0.767,411.98,23.92,1257,602,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,7005,5730,3441,8.569469523564967,0.677,453.1,9.58,1954,1070,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,951,3687,2342,7.7201011250158,0.729,1184.37,34.05,454,218,7.3,Estimated Synergy (Co-digestion),Synthetic
1,1166,6380,3278,6.30233400413228,0.349,333.74,17.21,3028,1457,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,9917,5069,3360,6.8455643243202,0.43,790.58,17.84,1255,731,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,7264,4808,2930,7.270412826924355,1.156,903.87,28.63,984,512,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,7457,6132,3358,8.039534339700737,1.464,1360.04,24.66,1056,477,7.2,Estimated Synergy (Co-digestion),Synthetic
0,1465,6492,4408,7.16760503620249,0.406,1288.08,16.47,1041,575,7.4,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,5586,2143,1263,6.879632315094193,1.018,804.47,33.64,166,60,7.3,Estimated Synergy (Co-digestion),Synthetic
0,7960,7161,4975,8.987793726090988,0.359,1295.51,19.48,2171,1359,7.4,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,7341,2953,1841,6.303368028368371,0.473,607.93,15.02,397,192,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,6272,5236,2862,7.743916251680346,1.459,1216.04,17.9,660,275,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,7519,5486,3271,7.133962770366764,0.772,539.56,14.27,1776,961,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,9535,5709,2918,6.356453748804216,0.401,789.84,18.16,2059,965,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,1631,5440,2810,7.585110363891627,1.153,1840.5,37.65,635,243,7.1,Estimated Synergy (Co-digestion),Synthetic
1,5448,7795,4760,8.907907606857297,0.58,851.13,16.84,3211,1818,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,3430,4703,3044,8.745763025007319,0.807,265.1,13.44,2214,1342,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,6919,6185,3572,6.688184237114849,0.498,625.51,12.49,2220,1175,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,6232,4508,2871,6.487850818034674,1.568,1022.25,31.82,581,284,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,109,4871,3289,7.65476361763221,0.486,388.98,21.24,1431,867,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,7549,6158,3563,8.487492662119543,1.172,912.39,17.4,1669,858,7.0,Estimated Synergy (Co-digestion),Synthetic
2,2100,4756,3328,8.989910511221716,1.069,1310.91,30.19,1178,724,7.1,Estimated Synergy (Co-digestion),Synthetic
1,6700,7997,4400,6.824195391077726,0.476,1227.22,19.55,3518,1803,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,349,2673,1591,8.494114470187505,0.864,744.01,32.99,740,393,7.3,Estimated Synergy (Co-digestion),Synthetic
0,4819,4814,2434,8.265411767020858,1.068,813.42,16.21,1472,671,7.0,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,9621,3358,1972,8.712476083481246,0.511,414.1,18.46,1366,743,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,2280,6892,3648,8.779762875484483,1.034,1089.68,23.42,1431,648,7.2,Estimated Synergy (Co-digestion),Synthetic
0,6369,5818,3583,7.024689631369635,1.149,927.65,26.61,760,360,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,1987,5266,3175,8.919331047810314,0.945,334.86,23.89,1815,999,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,7081,2523,1365,7.092809583144226,0.657,358.77,10.05,607,287,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,6593,6202,4243,6.183233879564591,0.862,2507.14,30.52,1460,871,7.1,Estimated Synergy (Co-digestion),Synthetic
2,155,6821,3732,8.279866226812757,1.162,1777.3,18.38,1683,809,7.1,Estimated Synergy (Co-digestion),Synthetic
2,1746,2918,1757,7.596340455795946,0.713,690.59,29.13,466,228,7.1,Estimated Synergy (Co-digestion),Synthetic
0,9005,3062,1728,6.634344020989634,0.819,266.37,31.31,412,180,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,332,4156,2476,7.7525984541425075,1.519,1002.0,29.54,561,260,7.2,Estimated Synergy (Co-digestion),Synthetic
0,2839,7401,4599,6.733059466393963,1.061,775.78,32.55,1668,898,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,5722,4563,3057,6.263662873620431,0.733,288.72,19.14,2198,1381,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,9211,7342,4987,7.72799525341698,1.531,413.23,31.36,1413,810,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,5660,6289,3844,7.7148380684096995,0.547,907.95,12.46,2121,1181,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,4308,6654,4268,8.303338504328517,0.437,858.51,28.16,1876,1075,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,109,2260,1158,8.969880697169835,0.479,205.77,11.28,838,395,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,3590,5677,2959,8.552182380049365,1.366,1241.46,32.12,1012,439,7.1,Estimated Synergy (Co-digestion),Synthetic
2,9862,4560,2955,7.723419339539736,1.662,977.86,33.56,817,440,7.1,Estimated Synergy (Co-digestion),Synthetic
0,2998,2077,1255,7.076491452370508,1.613,249.97,31.03,268,124,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,7904,7984,5185,7.508161170277438,0.889,4071.83,26.61,874,412,7.4,Estimated Synergy (Co-digestion),Synthetic
2,2070,2197,1511,7.883124159214254,0.978,316.25,32.82,314,171,7.2,Estimated Synergy (Co-digestion),Synthetic
2,1022,2419,1692,8.257209360116468,1.38,704.34,19.84,574,351,7.3,Estimated Synergy (Co-digestion),Synthetic
0,1965,4912,2557,7.6094440544537845,0.859,573.59,25.02,871,376,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,2471,4891,3200,6.036609216954133,1.089,648.36,25.79,985,548,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,6266,2814,1569,7.844850789457963,0.889,230.71,11.02,1026,525,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,3631,6451,4410,8.37025391137226,0.54,1909.36,30.24,1481,880,7.0,Estimated Synergy (Co-digestion),Synthetic
2,7296,5533,3800,8.776705538720329,0.989,865.97,31.87,1235,734,7.0,Estimated Synergy (Co-digestion),Synthetic
0,3172,3854,2167,6.682186862631338,1.201,444.48,28.7,756,360,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,8070,2574,1500,8.59055442183887,0.808,290.38,14.87,729,380,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,5071,6858,3622,6.52916095951867,1.189,1809.22,35.09,1198,524,7.2,Estimated Synergy (Co-digestion),Synthetic
1,2813,4203,2280,7.545521047220438,0.96,418.98,18.26,796,363,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,4522,3792,2131,7.1919543463727935,0.974,806.63,21.46,519,227,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,8577,5495,3393,6.882134037662914,1.379,1048.77,25.31,694,327,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,5026,5335,3587,8.838346386400898,0.893,988.1,26.15,1486,891,7.0,Estimated Synergy (Co-digestion),Synthetic
1,3562,5079,2567,6.665916485798848,0.478,565.19,9.22,2230,1050,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,7318,5675,3107,6.298324178278035,0.834,2237.28,32.93,809,350,7.2,Estimated Synergy (Co-digestion),Synthetic
0,6712,7005,3913,8.68900745556336,0.33,411.1,15.11,2557,1311,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,4277,2513,1714,7.874283813129753,0.775,493.57,19.83,708,431,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,1379,7853,4496,8.583204059924164,0.567,1347.15,24.54,2684,1401,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,8273,6223,3338,7.454335101451038,1.276,2841.53,32.9,762,308,7.1,Estimated Synergy (Co-digestion),Synthetic
1,2641,4051,2132,8.701716903709157,0.681,409.87,18.98,1529,741,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,7284,7796,4913,8.489225411121605,0.561,370.31,14.44,1692,919,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,6236,2454,1508,8.514320889534886,0.554,327.09,14.26,978,556,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,2966,6788,4212,6.736047329043963,0.914,663.65,21.38,687,300,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,1433,6193,3587,8.862260809618899,0.625,1252.53,20.12,1651,849,7.1,Estimated Synergy (Co-digestion),Synthetic
2,7201,6460,3429,7.869997652714972,1.158,1705.71,24.77,1086,474,7.3,Estimated Synergy (Co-digestion),Synthetic
1,8070,6226,3209,6.007018171877335,0.782,392.5,9.39,2789,1341,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,3104,7136,4924,7.338017318873867,0.631,1035.71,31.09,767,381,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,5704,4421,2773,8.941730400539964,1.459,1326.27,26.49,1456,830,7.3,Estimated Synergy (Co-digestion),Synthetic
1,4906,2400,1286,7.703835691657888,0.907,163.09,19.94,822,402,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,9118,6822,4496,8.235193644360661,0.392,838.06,16.2,2106,1253,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,2767,7217,4885,7.5907953979047,1.158,1717.48,29.91,609,266,7.2,Estimated Synergy (Co-digestion),Synthetic
1,1020,4769,2880,7.280451169964593,0.884,402.78,16.46,837,419,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,3910,2813,1603,8.301564866793381,0.806,342.89,23.07,558,270,7.4,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,7169,2920,1656,7.567557574903569,0.818,215.03,16.87,967,499,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,4488,2431,1224,8.963167169208095,0.53,203.42,16.5,1130,532,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,9230,6805,4739,8.65259693439451,0.985,1607.87,27.6,1763,1085,7.0,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,5529,2884,1921,6.361016286104988,0.429,362.87,14.48,303,144,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,1896,2053,1424,8.651357654890276,1.348,365.51,14.66,633,396,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,7412,2002,1327,6.6733217155099815,0.475,242.13,16.94,664,400,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,7590,4682,2462,8.666244239606932,1.376,991.43,24.69,1279,598,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,9275,2974,1490,8.087142878549251,0.594,1054.68,34.89,685,298,7.4,Estimated Synergy (Co-digestion),Synthetic
0,5333,5111,3458,7.54823706133085,1.555,841.13,26.31,836,462,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,9577,6311,4162,7.975355503975276,1.397,1620.13,25.61,1042,562,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,4386,5738,3732,6.475815315879221,0.794,746.15,9.1,1702,995,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,3841,3574,1901,8.453901072357187,1.488,906.84,16.97,891,416,7.2,Estimated Synergy (Co-digestion),Synthetic
0,2164,6455,3562,7.902017109298834,1.026,1076.24,15.21,1088,493,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,1535,2571,1377,8.261096502151558,0.776,161.64,19.51,624,293,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,8173,2885,1642,7.862746553302431,0.407,490.86,23.49,565,272,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,5143,4428,2553,6.196878433722039,1.531,1051.85,31.81,999,499,7.0,Estimated Synergy (Co-digestion),Synthetic
1,9745,6833,4779,7.2785439067079185,0.643,682.51,21.32,1694,1041,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,3255,5093,2680,8.604162967596878,0.826,279.68,18.07,1460,688,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,1782,7506,4221,6.9622282213143825,0.765,829.83,12.13,1785,877,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,5490,4255,2589,6.477737214837793,0.452,288.14,10.73,1607,900,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,1059,2692,1836,8.902533790841332,0.677,515.17,15.76,713,431,7.2,Estimated Synergy (Co-digestion),Synthetic
0,5897,3016,1605,7.954558400406794,0.754,493.69,20.84,420,175,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,8565,4013,2321,7.43981650415137,1.172,505.79,27.31,391,157,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,313,5762,3001,6.726135047587582,1.864,770.23,28.2,685,266,7.3,Estimated Synergy (Co-digestion),Synthetic
1,9227,6337,3582,7.553134930154134,0.448,775.72,10.43,2436,1269,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,7114,2089,1332,8.401760097327248,0.458,170.95,10.26,681,394,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,2156,5144,2625,7.623889005903211,0.799,667.98,20.39,1090,477,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,2530,4054,2562,7.659004357775875,1.354,1409.25,27.92,784,418,7.1,Estimated Synergy (Co-digestion),Synthetic
1,7279,4134,2604,7.437836785728862,0.751,454.96,16.92,909,494,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,4890,4335,2599,7.666090652812894,1.29,393.24,32.02,458,196,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,9046,6130,3335,7.255199366002958,0.502,1076.77,12.23,1137,518,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,9679,5453,3803,6.120327574237447,1.436,1050.32,21.16,936,539,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,9733,4979,2909,6.830483391705155,0.681,890.89,12.06,1531,807,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,8004,4914,3219,7.21593054925723,1.44,2060.4,27.4,393,161,7.2,Estimated Synergy (Co-digestion),Synthetic
1,4748,4365,2267,7.215062397240965,0.717,517.93,19.23,1739,835,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,8319,4113,2762,6.027091212388651,1.075,757.05,20.14,1068,634,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,729,2269,1284,7.346332721494209,0.773,142.19,16.42,606,304,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,675,3307,1677,8.209206045196922,1.128,336.26,27.06,654,281,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,2025,2619,1592,6.102563297817475,1.71,343.21,21.24,681,366,7.3,Estimated Synergy (Co-digestion),Synthetic
2,4393,4532,3112,6.948468314930252,1.269,632.38,22.24,194,40,7.4,Estimated Synergy (Co-digestion),Synthetic
2,225,6065,3424,8.91929324421104,1.109,821.18,23.89,1789,907,7.2,Estimated Synergy (Co-digestion),Synthetic
2,6627,7757,4356,8.11404228820994,0.782,2825.19,34.9,1826,895,7.3,Estimated Synergy (Co-digestion),Synthetic
1,4712,3518,1883,8.077877856678494,0.822,518.33,18.79,1153,561,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,1086,3863,2546,8.756033390980512,1.161,1197.09,29.43,927,534,7.2,Estimated Synergy (Co-digestion),Synthetic
1,3391,6033,4222,6.144636116581668,0.803,494.68,19.15,2046,1305,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,7214,3347,2108,8.295572593667353,1.421,451.55,27.68,659,352,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,5550,5712,2993,7.633467293882548,0.376,650.29,20.56,1129,501,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,5692,3440,1883,7.119755374888021,0.707,230.89,26.66,321,119,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,9318,5865,4048,8.541502084117722,0.809,918.29,10.12,2614,1682,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,8334,2943,1794,8.240627148407468,1.393,969.13,31.71,612,319,7.4,Estimated Synergy (Co-digestion),Synthetic
0,5343,7923,5430,6.180802170868683,1.533,912.78,15.28,1611,941,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,3710,3692,2438,7.617483830025764,0.572,434.58,20.44,1261,759,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,4545,5530,2901,8.578247379841768,1.22,390.4,16.78,1344,618,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,1898,3845,2345,6.130237598564458,0.636,435.65,15.77,1280,710,7.4,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,3197,6616,4163,6.524320328482132,0.851,1394.33,28.59,1014,513,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,6907,5683,3323,8.00264969787441,0.427,752.86,15.72,1706,898,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,3279,3249,1931,7.606074305527983,0.807,698.57,23.36,538,262,7.3,Estimated Synergy (Co-digestion),Synthetic
0,1200,2440,1462,8.963356560644662,0.446,299.19,17.42,825,450,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,6702,7094,4030,8.456121171357697,1.018,774.9,27.08,1644,813,7.1,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,7943,2072,1170,6.679969206680964,0.861,148.41,24.37,456,222,7.3,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,4355,4823,3260,7.952632107141582,1.219,1066.63,24.15,699,375,7.4,Estimated Synergy (Co-digestion),Synthetic
1,9524,5874,3795,7.395616836851154,0.429,873.64,24.05,2141,1269,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,307,4665,2422,7.351112808774555,1.395,427.76,27.06,458,165,7.4,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
0,7546,6443,4476,6.060079067777473,1.264,1387.92,17.54,1206,704,7.0,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,7221,6551,4265,6.383140450905705,0.756,907.22,17.75,3118,1902,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,9893,4408,2281,8.810873469093188,0.603,445.98,13.34,1784,854,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,8553,3442,2262,7.7237621469533,1.302,1048.22,28.06,528,279,7.2,Estimated Synergy (Co-digestion),Synthetic
0,1926,5229,3532,8.60417007032235,1.222,782.5,16.86,1823,1125,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,7102,6225,3390,8.871968663683761,0.607,911.57,15.43,2512,1266,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
2,6001,3133,2129,8.487997215423851,0.876,1332.3,30.63,653,380,7.0,Estimated Synergy (Co-digestion),Synthetic
0,7237,2963,1561,8.889345334767523,0.893,652.4,18.06,1025,493,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
1,3136,7947,5326,6.000997518361468,0.333,743.26,12.57,3448,2151,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,6588,6737,4021,8.26276063303159,0.687,634.19,14.89,2820,1562,7.0,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,9174,2399,1229,7.528266384449369,0.975,427.82,19.16,781,363,7.2,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,3402,3508,2376,7.3493539464639674,0.503,327.6,15.91,730,423,7.3,inarah.co.id/IRJET (Shrimp MFC),Synthetic
1,3816,6605,3630,6.401411208838466,0.555,781.05,16.16,2216,1109,7.1,inarah.co.id/IRJET (Shrimp MFC),Synthetic
0,6456,4009,2197,8.927621264730162,1.155,841.96,18.79,1514,764,7.2,wasabisys/ResearchGate (Slaughterhouse MFC),Synthetic
2,6136,4355,2409,6.447713333850528,0.705,1877.88,22.53,641,282,7.3,Estimated Synergy (Co-digestion),Synthetic
